timestamp,rssi,noise,ssid,channel,tx_rate
2026-03-16T20:00:00,-55.2,-95.1,Airtel_Xstream,36,866
2026-03-16T20:00:01,-54.8,-94.9,Airtel_Xstream,36,780
2026-03-16T20:00:02,-56.1,-95.3,Airtel_Xstream,36,866
2026-03-16T20:00:03,-53.5,-94.7,Airtel_Xstream,36,720
2026-03-16T20:00:04,-57.3,-95.0,Airtel_Xstream,36,866
2026-03-16T20:00:05,-55.9,-95.2,Airtel_Xstream,36,585
2026-03-16T20:00:06,-54.2,-94.8,Airtel_Xstream,36,866
2026-03-16T20:00:07,-58.1,-95.5,Airtel_Xstream,36,780
2026-03-16T20:00:08,-55.0,-95.1,Airtel_Xstream,36,866
2026-03-16T20:00:09,-56.7,-95.4,Airtel_Xstream,36,720
2026-03-16T20:00:10,-52.1,-94.5,Airtel_Xstream,36,866
2026-03-16T20:00:11,-59.3,-95.8,Airtel_Xstream,36,585
2026-03-16T20:00:12,-55.5,-95.0,Airtel_Xstream,36,866
2026-03-16T20:00:13,-54.0,-94.6,Airtel_Xstream,36,780
2026-03-16T20:00:14,-57.8,-95.3,Airtel_Xstream,36,866
2026-03-16T20:00:15,-55.1,-94.9,Airtel_Xstream,36,720
2026-03-16T20:00:16,-53.9,-94.7,Airtel_Xstream,36,866
2026-03-16T20:00:17,-56.4,-95.2,Airtel_Xstream,36,866
2026-03-16T20:00:18,-58.7,-95.6,Airtel_Xstream,36,585
2026-03-16T20:00:19,-54.6,-94.8,Airtel_Xstream,36,866
